benchmark,result,holes,solve
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0037_DYNAMIC_Post_Value_Setup_ISSUER/prob_00142_004673__31949518_1.p.stdout,unsat,,3212
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0039_Independent_DYNAMIC_Post_Value_Setup_ISSUER/prob_00032_000962__41787694_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0039_Independent_DYNAMIC_Post_Value_Setup_ISSUER/prob_00229_007948__42081500_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0043_Post_Unwinding_Helper_RECEIVER/prob_00052_001740__50523512_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0025_Outer_Friend_Issuer_Value_Setup/prob_00105_004470__27654310_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0031_Outer_Friend_Network/prob_00052_002122__30781022_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0031_Outer_Friend_Network/prob_00160_006910__31312244_1.p.stdout,unsat,,2893
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0016_Friend_Request_Value_Setup/prob_00217_011586__22495978_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0036_Post_Unwinding_Helper_ISSUER/prob_00235_008124__31621100_1.p.stdout,unsat,,15536
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0013_Friend_Network/prob_00061_002289__22150252_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0023_Outer_Friend_Issuer_State_Indistinguishability/prob_00229_009869__27299818_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0011_Friend_Value_Setup/prob_00161_007511__20149336_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0029_Outer_Friend_Receiver_Value_Setup/prob_00086_003074__29632344_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0012_Friend/prob_00290_014013__21105088_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0012_Friend/prob_00198_008199__20773852_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0012_Friend/prob_00505_025745__21615566_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0012_Friend/prob_00587_030920__21884142_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0012_Friend/prob_00394_019744__21340676_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0010_Friend_Openness/prob_00060_002726__19552268_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0010_Friend_Openness/prob_00179_008165__19836552_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0009_Friend_State_Indistinguishability/prob_00530_025549__19265706_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0009_Friend_State_Indistinguishability/prob_00408_018140__18880142_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0009_Friend_State_Indistinguishability/prob_00044_001395__18451680_1.p.stdout,unsat,,2884
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0009_Friend_State_Indistinguishability/prob_00285_012169__18641062_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0017_Friend_Request/prob_01092_058896__26100502_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0017_Friend_Request/prob_00965_051145__25754536_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0017_Friend_Request/prob_00376_016325__23668092_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0017_Friend_Request/prob_00486_022606__23990524_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0017_Friend_Request/prob_00707_035745__24876144_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0017_Friend_Request/prob_00594_029420__24435354_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0017_Friend_Request/prob_01207_066051__26442450_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0017_Friend_Request/prob_00180_007788__23156418_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0017_Friend_Request/prob_00865_044443__25274136_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0018_Friend_Request_Network/prob_00058_002136__26736350_1.p.stdout,unsat,,30514
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_00321_011305__33078448_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_00940_044145__36860222_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_01520_073889__41094702_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_00503_020582__34078144_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_00730_032856__35769316_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_01256_060896__38401482_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_01038_049595__37584522_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_01164_056520__38033770_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_00164_005700__32672894_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_00651_028772__34853138_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_00792_035823__36255036_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_00593_025694__34473298_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_01433_069473__40066276_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_00865_039714__36646522_1.p.stdout,unsat,,1850
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_01302_063205__38775212_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_00383_014605__33311380_1.p.stdout,unsat,,17982
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_00991_046973__37236816_1.p.stdout,unsat,,9260
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_01575_076565__41527450_1.p.stdout,unsat,,16723
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_00427_016813__33673222_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_01114_053829__37765626_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0038_DYNAMIC_Post_ISSUER/prob_01371_066294__39141504_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_00667_029177__44304062_1.p.stdout,unsat,,8841
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_01140_054718__46885494_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_00533_022441__43610184_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_01599_076857__50023504_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_00398_015269__43046088_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_00947_044203__45228346_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_01469_070321__49464402_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_00598_025862__43947506_1.p.stdout,unsat,,2031
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_01001_047153__45624140_1.p.stdout,unsat,,42700
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_00751_033432__44691478_1.p.stdout,unsat,,1873
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_01057_049794__45889122_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_00824_037022__44817286_1.p.stdout,unsat,,25921
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_00888_040608__45020620_1.p.stdout,unsat,,2264
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_01323_063483__48480286_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_00284_009434__42472028_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_00454_017994__43402564_1.p.stdout,unsat,,10894
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_01186_056992__47293624_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_00340_012534__42660478_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_01547_074466__49721634_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_01395_066914__48835344_1.p.stdout,unsat,,2857
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0040_Independent_DYNAMIC_Post_ISSUER/prob_01265_060832__47520104_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0026_Outer_Friend_Issuer/prob_00246_010577__28887488_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0026_Outer_Friend_Issuer/prob_00364_017340__29303248_1.p.stdout,unsat,,16665
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/CoSMeDis/0026_Outer_Friend_Issuer/prob_00130_005112__28547888_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01041_040029__15924554_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01394_054623__16849516_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00914_034321__15492278_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01314_051739__16670390_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01914_075959__18121716_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01949_077488__18211536_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00324_011565__14142354_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01101_042639__16139922_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01874_074109__18036986_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00785_028925__15182408_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01646_064195__17625530_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01555_060863__17269106_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00944_035861__15604480_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00290_010258__14039548_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00741_027115__15085584_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00577_021382__14715696_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00362_013225__14251854_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00206_007210__13748880_1.p.stdout,unsat,,1830
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01730_067655__17842378_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00640_023655__14809988_1.p.stdout,unsat,,1818
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01065_041006__16034738_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00231_008047__13845564_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01796_070522__17948978_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00677_024851__14894418_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01985_079304__18301968_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01006_038562__15816976_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00251_008704__13943114_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01259_049270__16555922_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00159_005741__13651982_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01444_056419__16957618_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01478_057785__17065318_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01182_045819__16343840_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00703_025684__14987078_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01209_047137__16457196_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01509_059041__17166318_1.p.stdout,unsat,,7166
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01616_062996__17502540_1.p.stdout,unsat,,1850
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00826_030426__15283334_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00444_016417__14440966_1.p.stdout,unsat,,1806
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01132_043854__16244758_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00483_017990__14534362_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00872_032022__15376728_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00981_037544__15717018_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00406_014953__14348128_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01677_065289__17730910_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00531_019738__14621546_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01590_062114__17378666_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_00124_004804__13558124_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0001_Conservation/prob_01352_053037__16765600_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00143_005003__18685350_1.p.stdout,unsat,,1840
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00355_013462__19001204_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_01133_046496__21721448_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00607_023714__19881526_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_01158_047363__21861144_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_01186_048456__21985428_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_01071_044231__21533110_1.p.stdout,unsat,,5010
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_01212_049596__22106394_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00384_014524__19107376_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00266_009917__18896094_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00950_038678__21000026_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00519_020129__19568376_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_01038_042854__21396280_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00451_017185__19306080_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00871_035256__20790038_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00238_008697__18800122_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00732_029261__20311302_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00109_003704__18586276_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00062_001880__18385310_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00086_002843__18490842_1.p.stdout,unsat,,18905
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00549_021250__19671082_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_01006_041129__21238090_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00700_027779__20197648_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_01108_045682__21631818_1.p.stdout,unsat,,33722
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00414_015745__19206942_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00497_019195__19443914_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00646_025563__19995056_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00582_022525__19778362_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00906_036832__20879694_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00847_034311__20651624_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00972_039644__21112156_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0002_Sorting/prob_00765_030732__20516782_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0000_Algorithm/prob_01526_065729__12151052_1.p.stdout,unsat,,1996
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0000_Algorithm/prob_01322_057956__11706026_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0000_Algorithm/prob_02025_084972__13200706_1.p.stdout,unsat,,45612
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0000_Algorithm/prob_01932_080846__13073884_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0000_Algorithm/prob_01890_079266__12935502_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0000_Algorithm/prob_02158_090425__13474346_1.p.stdout,unsat,,1810
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0000_Algorithm/prob_01553_066595__12237616_1.p.stdout,unsat,,22899
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Generalized_Counting_Sort/0000_Algorithm/prob_01358_059221__11783816_1.p.stdout,unsat,,2507
