benchmark,result,holes,solve
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0005_Prime_Distribution_Elementary_Library/prob_00492_019475__17542348_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0005_Prime_Distribution_Elementary_Library/prob_00193_006855__17104496_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0005_Prime_Distribution_Elementary_Library/prob_00031_000917__16899668_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0005_Prime_Distribution_Elementary_Library/prob_00396_015252__17392624_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0005_Prime_Distribution_Elementary_Library/prob_00237_008776__17192130_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0005_Prime_Distribution_Elementary_Library/prob_00545_021982__17606472_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0005_Prime_Distribution_Elementary_Library/prob_00289_011309__17255364_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0005_Prime_Distribution_Elementary_Library/prob_00448_017313__17474794_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0006_More_Dirichlet_Misc/prob_00070_002814__17748834_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0006_More_Dirichlet_Misc/prob_00410_016804__18266728_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0006_More_Dirichlet_Misc/prob_00224_009032__17991146_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0006_More_Dirichlet_Misc/prob_00317_012808__18115590_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0006_More_Dirichlet_Misc/prob_00269_010722__18043992_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0006_More_Dirichlet_Misc/prob_00127_005227__17816444_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0006_More_Dirichlet_Misc/prob_00371_015056__18198826_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0006_More_Dirichlet_Misc/prob_00174_007389__17918452_1.p.stdout,unsat,,1908
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0010_Primorial/prob_00291_011403__20488642_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0010_Primorial/prob_00154_005876__20305590_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0010_Primorial/prob_00251_009820__20442380_1.p.stdout,unsat,,60117
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0010_Primorial/prob_00203_008065__20379748_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0010_Primorial/prob_00333_013268__20551292_1.p.stdout,unsat,,1775
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0010_Primorial/prob_00045_001669__20137664_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0010_Primorial/prob_00087_003500__20239086_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0000_Primes_Omega/prob_00065_002337__16527566_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0003_Lcm_Nat_Upto/prob_00134_005409__16823776_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0003_Lcm_Nat_Upto/prob_00087_003476__16737218_1.p.stdout,,,
