benchmark,result,holes,solve,check
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_traverse_postcondition_of_dl_traverse_24_1.smt2.stdout,unsat,,81,45
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_dispose_postcondition_of_dl_dispose_24_1.smt2.stdout,unsat,,38,36
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_remove_loop_invariant_35_5.smt2.stdout,unsat,,419,143
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/filter_loop_check_heap_access_23_4.smt2.stdout,unsat,,38,41
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_insert_postcondition_of_rec_insert_19_6.smt2.stdout,unsat,,70,62
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_remove_check_heap_access_40_6_1.smt2.stdout,unsat,,93,47
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_copy_loop_invariant_36_3.smt2.stdout,unsat,,25800,10635
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_insert_check_heap_access_16_4.smt2.stdout,unsat,,24,33
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/traverse1_loop_invariant_20_3.smt2.stdout,unsat,,73,57
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dispose_postcondition_of_dispose_20_3.smt2.stdout,unsat,,30,54
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_traverse_postcondition_of_rec_traverse_16_20.smt2.stdout,unsat,,34,36
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/insert_postcondition_of_insert_14_4.smt2.stdout,unsat,,47,50
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/filter_loop_invariant_35_3.smt2.stdout,unsat,,557,101
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_filter_postcondition_of_rec_filter_15_17.smt2.stdout,unsat,,25,36
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/copy_loop_check_heap_access_23_4.smt2.stdout,unsat,,52,36
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/concat_loop_invariant_22_5.smt2.stdout,unsat,,71,55
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/reverse_postcondition_of_reverse_26_1.smt2.stdout,unsat,,84,50
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_reverse_postcondition_of_rec_reverse_27_2.smt2.stdout,unsat,,45,38
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dispose_loop_check_heap_access_18_4.smt2.stdout,unsat,,22,33
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/filter_loop_check_free_31_6.smt2.stdout,unsat,,5558,1023
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_concat_postcondition_of_dl_concat_19_4.smt2.stdout,unsat,,60,53
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_copy_loop_check_heap_access_43_4.smt2.stdout,unsat,,25,34
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_dispose_loop_check_heap_access_21_4.smt2.stdout,unsat,,27,35
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_remove_loop_check_heap_access_33_6.smt2.stdout,unsat,,45,39
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_dispose_invariant_17_2.smt2.stdout,unsat,,22,34
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_dispose_postcondition_of_rec_dispose_17_19.smt2.stdout,unsat,,102,53
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_reverse_postcondition_of_rec_reverse_29_2.smt2.stdout,unsat,,47,37
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/split_loop_check_heap_access_79_6.smt2.stdout,unsat,,27,34
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_insert_invariant_24_4.smt2.stdout,unsat,,56,43
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_dispose_loop_check_free_22_4.smt2.stdout,unsat,,28,34
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/union_precondition_of_find_37_7.smt2.stdout,unsat,,41,37
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dispose_invariant_13_2.smt2.stdout,unsat,,17,32
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_concat_postcondition_of_rec_concat_31_1.smt2.stdout,unsat,,200,79
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_reverse_invariant_18_2.smt2.stdout,unsat,,6274,517
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_remove_check_heap_access_18_4.smt2.stdout,unsat,,22,33
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_filter_loop_check_heap_access_24_4.smt2.stdout,unsat,,41,45
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_filter_loop_check_free_36_6.smt2.stdout,unsat,,67,36
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_reverse_loop_invariant_28_3.smt2.stdout,unsat,,615,348
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_reverse_acc_precondition_of_rec_reverse_acc_19_11.smt2.stdout,unsat,,139,63
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/find_check_heap_access_17_2.smt2.stdout,unsat,,38,39
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/traverse2_postcondition_of_traverse2_38_1.smt2.stdout,unsat,,7591,108
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/merge_sort_precondition_of_split_97_12.smt2.stdout,unsat,,17,31
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_remove_postcondition_of_rec_remove_26_4.smt2.stdout,unsat,,537,89
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_filter_loop_invariant_40_3.smt2.stdout,unsat,,2095,390
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_copy_postcondition_of_rec_copy_53_2.smt2.stdout,unsat,,97,46
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/remove_check_heap_access_30_6_1.smt2.stdout,unsat,,59,36
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_insert_loop_check_heap_access_28_6.smt2.stdout,unsat,,41,37
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_reverse_postcondition_of_dl_reverse_29_1.smt2.stdout,unsat,,453,98
